size	fuzzy	unit	function
668	99.94	Enemy/popo	execute__13TNervePopoFlyCFP24TSpineBase<10TLiveActor>
664	99.52	MoveBG/MapObjMamma	control__13TSandBombBaseFv
660	99.14	Enemy/bossManta	init__10TBossMantaFP12TLiveManager
656	99.92	Enemy/telesa	behaveToWater__7TTelesaFP9THitActor
656	99.89	Enemy/bossManta	getIntoGraphVec__10TBossMantaFPQ29JGeometry8TVec3<f>
656	99.82	Animal/AnimalBase	init__11TAnimalBaseFP12TLiveManager
656	99.62	Player/MarioDraw	MarioFootDirRCtrl__FP7J3DNodei
656	99.62	Player/MarioDraw	MarioFootDirLCtrl__FP7J3DNodei
652	99.59	Enemy/igaiga	moveObject__7TIgaigaFv
648	99.03	Enemy/wireTrap	execute__20TNerveWireTrapSearchCFP24TSpineBase<10TLiveActor>
644	99.98	Enemy/poihana	init__8TPoiHanaFP12TLiveManager
644	99.92	Enemy/tamaNoko	execute__18TNerveTamaNokoDownCFP24TSpineBase<10TLiveActor>
644	99.68	GC2D/Option	update__19TOptionSubtitleUnitFv
640	99.96	Enemy/enemyAttachment	bind__16TEnemyAttachmentFv
640	99.66	MoveBG/MapObjGeneral	bind__14TMapObjGeneralFv
636	99.47	Player/ModelWaterManager	perform__18TModelWaterManagerFUlPQ26JDrama9TGraphics
628	99.96	Enemy/bosspakkun	execute__17TNerveBPTumbleOutCFP24TSpineBase<10TLiveActor>
628	99.63	Player/MarioDraw	MarioWaistCtrl__FP7J3DNodei
624	99.23	JSystem/JParticle/JPAMath	JPAGetRMtxTVecElement__FPA4_fPA4_fRQ29JGeometry8TVec3<f>
620	99.13	System/CardManager	readBlock___12TCardManagerFUl
616	99.84	System/EventWatcher	evIsOnLiveActorFlag__FP32TSpcTypedInterp<13TEventWatcher>Ul
616	99.79	JSystem/JParticle/JPADrawVisitor	exec__24JPADrawExecRotYBillBoardFPC14JPADrawContextP15JPABaseParticle
612	99.95	Enemy/chuuhana	attackToMario__9TChuuHanaFv
612	99.94	Map/Map	update__4TMapFv
612	99.86	GC2D/GCConsole2	endCameraDemo__11TGCConsole2Fv
608	99.97	Map/MapMakeList	removeCheckListData__17TMapCollisionDataFUsl
608	99.95	Enemy/hamukuri	bind__9THamuKuriFv
608	99.82	MarioUtil/MtxUtil	calcLocalXY__11TMtxSwingRZFPA4_fP3VecP3Vec
608	99.78	Animal/BeeHive	bind__8TBeeHiveFv
604	99.95	Strategic/liveactor	bind__10TLiveActorFv
604	99.93	JSystem/JParticle/JPAField	loadFieldBlock__12JPABaseFieldFP12JPADataBlock
604	99.79	Enemy/bossManta	control__10TBossMantaFv
600	99.79	MSound/MSoundStruct	__ct__26MSSetSoundTL<10MSSetSound>FUlPCcP10MSSetSoundUcUcUcUcfUcffffflflfffb
600	99.79	MSound/MSoundSE	__ct__29MSSetSoundTL<13MSSetSoundGrp>FUlPCcP13MSSetSoundGrpUcUcUcUcfUcffffflflfffb
600	99.50	MSound/MAnmSound	startAnimSound__12MAnmSoundNPCFPvUlPP8JAISoundP8JAIActorUc
596	99.87	MoveBG/MapObjMonte	initDraw__14THangingBridgeCFv
596	99.83	Enemy/tobiPuku	execute__26TNerveTobiPukuReturnLaunchCFP24TSpineBase<10TLiveActor>
596	99.60	Enemy/igaiga	behaveToWater__9TGorogoroFP9THitActor
592	99.49	MoveBG/MapObjCorona	getNextGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fPf
592	99.37	Enemy/killer	execute__23TNerveFlyEnemyNormalFlyCFP24TSpineBase<10TLiveActor>
588	99.93	Enemy/popo	init__5TPopoFP12TLiveManager
588	99.76	Enemy/enemy	goToExclusiveNextGraphNode__11TSpineEnemyFv
584	99.99	Player/MarioRun	walkEnd__6TMarioFv
584	99.81	Enemy/Kukku	updateRotation__6TKukkuFv
584	99.79	Enemy/fireWanwan	slerp__Q29JGeometry9TQuat4<f>FRCQ29JGeometry9TQuat4<f>f
584	99.78	Enemy/mameGesso	execute__21TNerveMameGessoThrownCFP24TSpineBase<10TLiveActor>
584	99.28	MoveBG/MapObjBianco	bind__9TLeafBoatFv
580	99.95	Enemy/killer	fly__9TFlyEnemyFv
576	99.81	Enemy/cannon	setKillerGoalPoint__7TCannonFv
576	99.47	MoveBG/MapObjCorona	getNextJuncture__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>
572	99.92	MoveBG/MapObjMonte	move__6TFluffFv
572	99.74	MarioUtil/DrawUtil	loadAfter__11TSilhouetteFv
568	99.99	MarioUtil/ShadowUtil	__ct__19TMBindShadowManagerFPCc
564	99.93	Enemy/tinkoopa	emitFlameEffects__14TTinKoopaFlameFv
564	99.87	System/EventWatcher	evInsertTimer__FP32TSpcTypedInterp<13TEventWatcher>Ul
564	99.79	System/EventWatcher	evWarpFrontToMario__FP32TSpcTypedInterp<13TEventWatcher>Ul
564	99.60	Enemy/graph	getPosAndRot__11TSplineRailFfPQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>
560	99.97	Enemy/hanasambo	dropLeaf__19TSamboFlowerManagerFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>
560	99.94	Enemy/smallEnemy	receiveMessage__11TSmallEnemyFP9THitActorUl
560	99.93	MarioUtil/MtxUtil	MtxToQuat__FPA4_fP10Quaternion
560	99.89	Enemy/killer	calcChaseParam__9TFlyEnemyFv
560	99.57	GC2D/Option	initSteleoAnm__16TOptionSoundUnitFv
556	99.98	Enemy/bosseel	__ct__14TBEelTearsDropFP10TBEelTearsiP12SDLModelDataPCc
556	99.95	System/EventWatcher	evSetHide4LiveActor__FP32TSpcTypedInterp<13TEventWatcher>Ul
556	99.95	System/EventWatcher	evSetDead4LiveActor__FP32TSpcTypedInterp<13TEventWatcher>Ul
556	99.95	Enemy/amiNoko	bind__8TAmiNokoFv
556	99.89	Enemy/hinokuri2	execute__14TNerveHino2DieCFP24TSpineBase<10TLiveActor>
552	99.94	Enemy/bosseel	__ct__13TBossEelToothFUcP8TBossEelPCcP12SDLModelDataPCc
552	99.18	JSystem/JParticle/JPADrawVisitor	exec__19JPADrawExecRotationFPC14JPADrawContextP15JPABaseParticle
548	99.95	Enemy/koopajr	checkNerveKillerLaunchNormal__8TKoopaJrFv
548	99.95	Enemy/koopajr	checkNerveKillerLaunchFast__8TKoopaJrFv
548	99.93	GC2D/Talk2D2	eraseNormalWindow__8TTalk2D2Fv
548	99.91	Enemy/amiNoko	init__8TAmiNokoFP12TLiveManager
548	99.89	Enemy/elecNokonoko	execute__22TNerveElecNokonokoTurnCFP24TSpineBase<10TLiveActor>
548	99.72	JSystem/JParticle/JPADrawVisitor	exec__21JPADrawExecYBillBoardFPC14JPADrawContextP15JPABaseParticle
544	99.93	System/CardManager	writeBlock___12TCardManagerFUl
540	99.96	NPC/NpcChange	behaveToSandBomb___8TBaseNPCFPC10TLiveActor
540	99.85	Strategic/liveactor	calcRideMomentum__10TLiveActorFv
540	99.83	JSystem/JParticle/JPADrawVisitor	exec__23JPADrawExecRotBillBoardFPC14JPADrawContextP15JPABaseParticle
540	99.77	MoveBG/MapObjBall	kicked__11TMapObjBallFv
540	99.70	MoveBG/MapObjMonte	load__11TSwingBoardFR20JSUMemoryInputStream
536	99.96	GC2D/Option	movementOption__14TOptionControlFv
536	99.95	NPC/NpcCollision	bind__8TBaseNPCFv
532	99.95	System/EventWatcher	evSetFlagNPCCanTaken__FP32TSpcTypedInterp<13TEventWatcher>Ul
532	99.92	NPC/NpcEvent	ev__ForceStartTalk__FP32TSpcTypedInterp<13TEventWatcher>Ul
532	99.87	Enemy/bosstelesa	appendEnemy__7TBubbleFv
532	99.86	GC2D/Talk2D2	openTalkWindow__8TTalk2D2FP8TBaseNPC
532	99.46	Enemy/elecNokonoko	reflect__13TElecCarapaceFP9THitActor
528	99.79	Camera/CameraNotice	ctrlLButtonCamera___15CPolarSubCameraFv
528	99.70	Player/MarioCheckCol	hitNormal__6TMarioFP9THitActor
528	99.70	Enemy/pakkun	isHitValid__11TStayPakkunFUl
524	99.96	MoveBG/MapObjMonte	initDraw__11TSwingBoardCFv
524	99.96	MoveBG/MapObjMare	initDraw__9TWireBellCFv
524	99.96	MoveBG/MapObjMare	initDraw__9TCogwheelCFv
524	99.96	Enemy/bossgesso	doAttackShoot__10TBossGessoFv
524	99.79	Enemy/wireTrap	receiveMessage__9TWireTrapFP9THitActorUl
524	99.76	Map/MapWire	drawLower__8TMapWireCFv
520	99.92	Enemy/smallEnemy	execute__28TNerveSmallEnemyHitWaterJumpCFP24TSpineBase<10TLiveActor>
516	99.89	Enemy/hamukuri	forceRoll__9THamuKuriFQ29JGeometry8TVec3<f>b
516	99.77	Enemy/fireWanwan	initEscapeNextGraphNode__11TFireWanwanFv
512	99.95	Enemy/hamukuri	receiveMessage__14TDangoHamuKuriFP9THitActorUl
512	99.84	Enemy/chuuhana	willFall__9TChuuHanaFl
508	99.94	Strategic/MirrorActor	init__12TMirrorActorFP8J3DModelUs
504	99.63	Enemy/koopajr	makeRelativeAngle__17TKoopaJrSubmarineFv
504	99.07	Enemy/elecNokonoko	sendMessage__13TElecCarapaceFv
500	99.63	Enemy/BossHanachanMain	execWalk__13TBossHanachanFb
496	99.91	Enemy/elecNokonoko	loadInit__13TElecCarapaceFP11TSpineEnemyPCc
496	99.89	Player/MarioPhysics	hangonCheck__6TMarioFPC12TBGCheckDataRC3VecRC3Vec
492	99.96	Strategic/liveactor	init__10TLiveActorFP12TLiveManager
492	99.88	Enemy/popo	behaveToFindMario__5TPopoFv
488	99.97	System/EventWatcher	evAppear8RedCoinsAndTimer__FP32TSpcTypedInterp<13TEventWatcher>Ul
488	99.93	NPC/NpcChange	changeNerveFromTalk___8TBaseNPCFv
488	99.84	Enemy/wireTrap	execute__24TNerveWireTrapReturnMoveCFP24TSpineBase<10TLiveActor>
488	99.47	Player/MarioSpecial	getOnWirePosAngle__6TMarioFPQ29JGeometry8TVec3<f>Ps
484	99.93	System/Application	checkAdditionalMovie__12TApplicationFv
484	99.90	Enemy/graph	initGraphGroup__11TGraphGroupFv
484	99.67	Enemy/killer	genEventCoin__7TKillerFv
484	99.31	Enemy/tobiPuku	forceLaunch__18TTobiPukuLaunchPadFP9TTobiPuku
480	99.97	Enemy/bossManta	moveObject__10TBossMantaFv
480	99.94	Enemy/hamukuri	bind__13THaneHamuKuriFv
480	99.89	Enemy/BossHanachanSub	__ct__11TSphereLinkFUsRCQ29JGeometry8TVec3<f>ffffff
480	99.84	Enemy/tinkoopa	initTinKoopaPartsBase__18TTinKoopaPartsBaseFv
480	99.50	Map/MapMakeList	getGridArea__17TMapCollisionDataFPC12TBGCheckDataiPiPiPiPi
480	99.47	Enemy/bossManta	update__32TBossMantaAdditionalCollisionSetFUlPQ26JDrama9TGraphics
472	99.76	Strategic/ObjHitCheck	entryGroup__12TObjHitCheckFP12TIdxGroupObj
472	99.75	JSystem/JParticle/JPADrawVisitor	exec__20JPADrawExecBillBoardFPC14JPADrawContextP15JPABaseParticle
472	99.42	MoveBG/MapObjPlane	draw__12TMapObjPlaneFv
472	99.34	GC2D/GCConsole2	startAppearTelop__11TGCConsole2Fb
468	99.96	NPC/NpcEvent	evCheckLatestNerve4Npc__FP32TSpcTypedInterp<13TEventWatcher>Ul
468	99.85	Map/PollutionLayer	initTexImage__15TPollutionLayerFPCc
468	99.27	MSound/MSoundScene	sortMaxTrans__9MSSceneSEFP3VecUcUc
464	99.97	GC2D/PauseMenu2	setDrawStart__11TPauseMenu2Fv
464	99.96	NPC/NpcEvent	evCheckCurNerve4Npc__FP32TSpcTypedInterp<13TEventWatcher>Ul
464	99.89	Enemy/Koopa	execute__17TNerveKoopaTumbleCFP24TSpineBase<10TLiveActor>
464	99.84	JSystem/JParticle/JPAEmitter	calcKeyFrameAnime__14JPABaseEmitterFv
464	99.69	MoveBG/MapObjPlane	updateCheckData__12TMapObjPlaneFii
460	99.87	MoveBG/MapObjCorona	getNearGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>fPf
456	99.92	Enemy/tobiPuku	execute__19TNerveTobiPukuBoundCFP24TSpineBase<10TLiveActor>
456	99.81	Enemy/walker	calcFarthestVertex__FPC12TBGCheckDataRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>
456	99.71	Player/MarioMove	thinkYoshiHeadCollision__6TMarioFv
452	99.96	MoveBG/MapObjSirena	initMapObj__9TRouletteFv
452	99.96	Enemy/TabePuku	execute__18TNerveTabePukuDiveCFP24TSpineBase<10TLiveActor>
452	99.96	MSound/MSoundSE	randPlay__Q214MSoundSESystem10MSRandPlayFUl
452	99.79	Enemy/hauntLeg	initSetEnemies__16THauntLegManagerFv
448	99.79	Map/Map	initMonte__Fv
448	99.63	JSystem/JParticle/JPADrawVisitor	exec__15JPADrawExecLineFPC14JPADrawContextP15JPABaseParticle
448	99.57	Map/MapEventMare	loadAfter__13TMareWallRockFv
444	99.96	MoveBG/MapObjFence	control__10TRailFenceFv
444	99.78	Enemy/amiNoko	perform__7TAmiHitFUlPQ26JDrama9TGraphics
444	99.76	MoveBG/MapObjMamma	controlGoTarget__11TLeanMirrorFv
440	99.91	MoveBG/MapObjPinna	control__13TMerrygoroundFv
440	99.87	GC2D/Talk2D2	checkBoardControler__8TTalk2D2Fv
440	99.84	Enemy/bosswanwan	moveRequest__9TBWPicketFRCQ29JGeometry8TVec3<f>
440	99.51	MoveBG/MapObjMare	calc__10TMuddyBoatFv
440	99.29	Strategic/ObjHitCheck	checkWater__12TObjHitCheckFv
436	99.93	MoveBG/MapObjRailBlock	control__11TNormalLiftFv
436	99.92	Enemy/namekuri	init__9TNameKuriFP12TLiveManager
436	99.92	Enemy/emario	init__7TEMarioFP12TLiveManager
436	99.81	Enemy/hamukuri	jumpToSearchActor__9THamuKuriFv
436	99.71	Enemy/enemymanager	copyAnmMtx__13TEnemyManagerFP11TSpineEnemy
432	99.96	NPC/NpcEvent	evCheckMonteClear__FP32TSpcTypedInterp<13TEventWatcher>Ul
432	99.95	Enemy/TabePuku	init__9TTabePukuFP12TLiveManager
432	99.94	Map/Map	initStage__Fv
432	99.89	MoveBG/MapObjBianco	touchActor__9TLeafBoatFP9THitActor
432	99.86	MoveBG/MapObjTree	initMapObj__11TMapObjTreeFv
432	99.77	Player/MarioPhysics	checkDescent__6TMarioFv
432	99.59	Enemy/enemy	goToDirLimitedNextGraphNode__11TSpineEnemyFf
432	99.16	MoveBG/MapObjMare	moveByWater__10TMuddyBoatFv
428	99.93	Enemy/tobiPuku	execute__22TNerveTobiPukuGenerateCFP24TSpineBase<10TLiveActor>
428	99.75	JSystem/JParticle/JPADrawVisitor	exec__23JPADrawExecGenPrjTexMtxFPC14JPADrawContext
428	99.56	Enemy/TabePuku	bind__9TTabePukuFv
424	99.93	Map/MapCheck	checkGround__17TMapCollisionDataCFfffUcPPC12TBGCheckData
424	99.80	Enemy/limitkoopajr	execute__21TNerveLimitKoopaJrRunCFP24TSpineBase<10TLiveActor>
424	99.62	Map/MapWireManager	getPosInWire__13TMapWireActorCFv
420	99.89	Enemy/fruitsboat	setGroundCollision__11TFruitsBoatFv
420	99.24	MoveBG/MapObjBianco	control__12TBigWindmillFv
416	99.90	Map/BathWaterManager	getPos__12TBathtubDataCFiif
416	99.90	Enemy/bossgesso	moveRequest__10TBGBeakHitFRCQ29JGeometry8TVec3<f>
412	99.91	MoveBG/MapObjMamma	__ct__23TMammaMirrorMapOperatorFPCc
412	99.91	Enemy/enemyMario	emWaitingToInviteMario__11TEnemyMarioFv
412	99.80	System/CardManager	copyTo__12TCardManagerFPQ212TCardManager9TCriteriaP17TCardBookmarkInfo
412	99.80	Enemy/popo	PopoNonScaleCallback__FP7J3DNodei
412	99.72	Enemy/igaiga	walkBehavior__7TIgaigaFif
412	99.42	MoveBG/MapObjDolpic	ring__11TBellDolpicFRCQ29JGeometry8TVec3<f>
408	99.96	Player/MarioDraw	drawLogic__6TMarioFv
408	99.96	Map/MapEventMare	appear__13TMareWallRockFv
408	99.88	MoveBG/MapObjPinna	control__13TPinnaCoasterFv
408	99.85	MoveBG/MapObjPinna	control__12TFerrisWheelFv
408	99.85	Enemy/popo	execute__16TNervePopoAttackCFP24TSpineBase<10TLiveActor>
408	99.71	Map/MapMakeData	updateTrans__17TMapCollisionBaseFRCQ29JGeometry8TVec3<f>
404	99.88	Enemy/bosswanwan	execute__14TNerveBWWakeupCFP24TSpineBase<10TLiveActor>
404	99.86	MoveBG/MapObjLib	touchWater__11TMapObjTurnFP9THitActor
404	99.81	Enemy/tinkoopa	checkTinKoopaKillerApproachingMessage__9TTinKoopaFv
404	99.73	Player/Tongue	emit__12TYoshiTongueFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>
404	99.50	JSystem/JDrama/JDREfbSetting	IssueGXCopyDisp__6JDramaFPvRCQ26JDrama5TRectRC16_GXRenderModeObjQ28JUtility6TColorUl10_GXFBClampUs
400	99.25	Map/MapStaticObject	perform__17TMapObjSoundGroupFUlPQ26JDrama9TGraphics
396	99.78	Enemy/namekuri	execute__19TNerveNKFollowMarioCFP24TSpineBase<10TLiveActor>
396	99.29	MoveBG/MapObjMonte	drawOneRope__19THangingBridgeBoardCFRCQ29JGeometry8TVec3<f>
392	99.92	Enemy/enemyAttachment	generatePolluteModel__25TEnemyPolluteModelManagerFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>
392	99.89	System/EventWatcher	evStartEventSE__FP32TSpcTypedInterp<13TEventWatcher>Ul
392	99.87	Player/Yoshi	appearFromEgg__6TYoshiFRCQ29JGeometry8TVec3<f>fP9TEggYoshi
388	99.95	Enemy/hanasambo	attackToMario__10TSamboHeadFv
388	99.82	System/EventWatcher	evIsInsideCube__FP32TSpcTypedInterp<13TEventWatcher>Ul
388	99.78	Enemy/chuuhana	reset__9TChuuHanaFv
388	99.55	MoveBG/MapObjMamma	exploding__13TSandBombBaseFv
384	99.93	Enemy/pakkun	loadInit__11TPakkunSeedFP11TSpineEnemyPCc
384	99.58	NPC/NpcNerve	execute__18TNerveNPCGraphWaitCFP24TSpineBase<10TLiveActor>
380	99.79	Enemy/bosswanwan	shakeCamera__11TBossWanwanFi
380	99.42	Enemy/graph	traceSpline__12TGraphTracerFf
376	99.84	MoveBG/MapObjMamma	initMapObj__17TMammaBlockRotateFv
376	99.49	Player/MarioCollision	calcDamagePos__6TMarioFRCQ29JGeometry8TVec3<f>
376	99.47	Enemy/poihana	walkBehavior__8TPoiHanaFif
372	99.96	Player/MarioRun	slopeProcess__6TMarioFv
372	99.87	MoveBG/MapObjRailBlock	initGraphTracer__11TRailMapObjFP9TGraphWeb
372	99.72	MoveBG/MapObjMare	touchPlayer__14TMapObjPuncherFP9THitActor
368	99.36	System/EventWatcher	evIsWaterMelonIsReached__FP32TSpcTypedInterp<13TEventWatcher>Ul
364	99.98	Player/MarioPhysics	jumpProcess__6TMarioFi
364	99.96	Enemy/hauntLeg	init__9THauntLegFP12TLiveManager
364	99.81	Enemy/Kukku	execute__23TNerveKukkuRecoverGraphCFP24TSpineBase<10TLiveActor>
364	99.78	Camera/CameraBGCheck	isNeedGroundCheck___15CPolarSubCameraFv
360	99.92	Enemy/limitkoopa	bind__11TLimitKoopaFv
360	99.50	Enemy/chuuhana	setGoal__9TChuuHanaFv
360	99.26	Enemy/igaiga	initSetEnemies__16TGorogoroManagerFv
360	99.22	JSystem/JParticle/JPAField	affect__14JPAVortexFieldFP11JPAParticle
356	99.94	Enemy/rocket	initSetEnemies__14TRocketManagerFv
356	99.93	Enemy/Kazekun	execute__21TNerveKazekunHitWaterCFP24TSpineBase<10TLiveActor>
356	99.88	System/EventWatcher	evStartSE__FP32TSpcTypedInterp<13TEventWatcher>Ul
356	99.79	System/GCLogoDir	direct__10TGCLogoDirFv
352	99.94	Enemy/Amenbo	calcRootMatrix__7TAmenboFv
352	99.89	MoveBG/MapObjGeneral	waitingToAppear__14TMapObjGeneralFv
352	99.77	Player/Yoshi	thinkHoldOut__6TYoshiFv
352	99.20	Enemy/Koopa	getFlameDirRate__6TKoopaCFv
352	99.12	MoveBG/MapObjSirena	partsRollCallback__FP7J3DNodei
348	99.95	Map/MapCheck	checkRoof__17TMapCollisionDataCFfffUcPPC12TBGCheckData
348	99.90	Enemy/enemyMario	emJumping__11TEnemyMarioFv
348	99.75	Enemy/pakkun	onShootLiner__7TPakkunFRQ29JGeometry8TVec3<f>
348	99.72	MSound/MSoundSE	checkSoundArea__Q214MSoundSESystem8MSoundSEFUlRC3Vec
344	99.93	Enemy/namekuri	setMeltAnm__9TNameKuriFv
344	99.93	Enemy/namekuri	setDeadAnm__9TNameKuriFv
344	99.92	Enemy/tamaNoko	receiveMessage__9TTamaNokoFP9THitActorUl
344	99.87	Enemy/Koopa	__ct__11TKoopaPartsFPCcUlP6TKoopaf
344	99.65	Enemy/amiNoko	isHitValid__8TAmiNokoFUl
344	99.30	MoveBG/MapObjFence	initMapObj__11TFenceWaterFv
340	99.96	Animal/Bird	load__11TAnimalBirdFR20JSUMemoryInputStream
340	99.72	Enemy/enemymanager	createEnemies__13TEnemyManagerFi
336	99.98	Camera/CameraBGCheck	execGroundCheck___15CPolarSubCameraF3Vec
336	99.74	MoveBG/MapObjBall	touchWater__11TResetFruitFP9THitActor
332	99.99	Enemy/bosspakkun	setGroundCollision__11TBossPakkunFv
332	99.94	Player/WaterGun	perform__9TWaterGunFUlPQ26JDrama9TGraphics
332	99.81	Enemy/popo	explosion__5TPopoFv
332	99.37	MoveBG/MapObjPinna	perform__9TShellCupFUlPQ26JDrama9TGraphics
328	99.89	JSystem/JAudio/JASystem/JASChannel	__UpdateJcToDSP__Q28JASystem6DriverFPQ28JASystem8TChannel
324	99.95	System/EventWatcher	evInvalidatePad__FP32TSpcTypedInterp<13TEventWatcher>Ul
324	99.75	Enemy/koopajr	appearShineKiller__17TKoopaJrSubmarineFi
320	99.95	Enemy/BathtubKiller	execute__28TNerveBathtubKillerExplosionCFP24TSpineBase<10TLiveActor>
320	99.92	MSound/MSound	exitStage__6MSoundFv
320	99.91	Enemy/bosswanwan	execute__12TNerveBWRollCFP24TSpineBase<10TLiveActor>
320	99.75	Enemy/gesso	set__16TGessoPolluteObjFv
320	99.75	Enemy/enemyMario	checkReturn__11TEnemyMarioFv
320	99.58	GC2D/GCConsole2	processMoveNozzle__11TGCConsole2Fv
320	99.31	MoveBG/MapObjMamma	withering__11TSandCastleFv
316	99.95	MoveBG/MapObjCorona	quake__8TBathtubFRCQ29JGeometry8TVec3<f>
316	99.85	Player/Tongue	canGo__12TYoshiTongueFv
316	99.41	MoveBG/MapObjMamma	load__11TLeanMirrorFR20JSUMemoryInputStream
312	99.87	MoveBG/Item	decideRandomLoveFruit__9TEggYoshiFv
312	99.69	Player/MarioMove	checkWallPlane__6TMarioFP3Vecff
308	99.88	Map/MapEventSink	loadAfter__29TMapEventSinkInPollutionResetFv
308	99.86	MarioUtil/LightUtil	perform__12TLightCommonFUlPQ26JDrama9TGraphics
308	99.79	System/MovieDirector	setup__14TMovieDirectorFPQ26JDrama8TDisplayP13TMarioGamePad
308	99.32	Enemy/fireWanwan	bindOne__11TTailRubberFRQ211TTailRubber4Node
304	99.92	JSystem/JParticle/JPADrawVisitor	calc__24JPADrawCalcScaleYBySpeedFPC14JPADrawContextP15JPABaseParticle
304	99.92	JSystem/JParticle/JPADrawVisitor	calc__24JPADrawCalcScaleXBySpeedFPC14JPADrawContextP15JPABaseParticle
304	99.91	Enemy/poihana	genEventCoin__8TPoiHanaFv
304	99.62	Map/MapWire	drawUpper__8TMapWireCFv
304	99.50	MarioUtil/ShadowUtil	forceRequest__19TMBindShadowManagerFRC20TCircleShadowRequestUl
300	99.88	Enemy/tamaNoko	initSetEnemies__16TTamaNokoManagerFv
300	99.79	System/MenuDir	setup__13TMenuDirectorFPQ26JDrama8TDisplayP13TMarioGamePad
296	99.91	MoveBG/MapObjMamma	loadAfter__11TLeanMirrorFv
292	99.78	Enemy/enemy	goToShortestNextGraphNode__11TSpineEnemyFv
292	99.73	Enemy/fireWanwan	moveRequest__18TFireWanwanTailHitFRCQ29JGeometry8TVec3<f>
292	99.08	GC2D/GCConsole2	startAppearTank__11TGCConsole2Fv
288	99.94	Enemy/Kukku	init__10TKukkuBallFv
288	99.68	Enemy/enemy	jumpToNextGraphNode__11TSpineEnemyFv
288	99.03	Enemy/bossManta	calcRootMatrix__10TBossMantaFv
284	99.94	MoveBG/MapObjBianco	touchWater__19TBiancoMiniWindmillFP9THitActor
284	99.94	Enemy/BathtubKiller	execute__24TNerveBathtubKillerBreakCFP24TSpineBase<10TLiveActor>
284	99.93	GC2D/GCConsole2	processDisappearBalloon__11TGCConsole2Fv
280	99.93	JSystem/JParticle/JPAEmitter	__ct__14JPABaseEmitterFv
280	99.87	Enemy/enemyMario	emWaiting__11TEnemyMarioFv
280	99.86	Player/MarioCollision	incHP__6TMarioFi
276	99.94	MoveBG/MapObjLib	throwObjToFrontFromPoint__11TMapObjBaseCFP11TMapObjBaseRCQ29JGeometry8TVec3<f>ff
276	99.93	GC2D/GCConsole2	processAppearBalloon__11TGCConsole2Fv
276	99.80	MoveBG/MapObjMonte	draw__11TSwingBoardCFv
276	99.70	Enemy/enemy	goToDirectedNextGraphNode__11TSpineEnemyFRCQ29JGeometry8TVec3<f>
276	99.13	Enemy/popo	possessedIn__5TPopoFv
272	99.97	Strategic/liveactor	initAnmSound__10TLiveActorFv
272	99.75	System/MarDirectorInitECT	setupPerformList_console__12TMarDirectorFv
272	99.72	MSound/MSoundSE	startSoundNpcActor__Q214MSoundSESystem8MSoundSEFUlPC3VecUlPP8JAISoundUlUc
272	99.71	Enemy/bombhei	genEventCoin__8TBombHeiFv
272	99.40	MSound/MSModBgm	xFadeBgm__10MSBgmXFadeFf
268	99.78	MoveBG/MapObjLib	rotateVecByAxisY__11TMapObjBaseFPQ29JGeometry8TVec3<f>f
264	99.92	Enemy/enemy	update__24TSpineBase<10TLiveActor>Fv
264	99.86	JSystem/JAudio/JASystem/JASChannel	__UpdateJcToDSPInit__Q28JASystem6DriverFPQ28JASystem8TChannel
264	99.76	Enemy/enemy	goToRandomEscapeGraphNode__11TSpineEnemyFv
264	99.74	Enemy/BossHanachanMain	checkFallDecideAndSetup__13TBossHanachanFv
264	99.70	MoveBG/MapObjGeneral	recover__14TMapObjGeneralFv
260	99.83	NPC/NpcBase	getAnmOffDist___8TBaseNPCFv
260	99.75	Enemy/enemy	goToRandomNextGraphNode__11TSpineEnemyFv
260	99.38	Enemy/tinkoopa	loadAfter__16TTinKoopaManagerFv
260	99.38	Enemy/gesso	execute__15TNerveGessoTurnCFP24TSpineBase<10TLiveActor>
256	99.92	Map/MapMakeList	updateCheckListNode__17TMapCollisionDataFlll
256	99.67	Enemy/hamukuri	getTakingMtx__9THamuKuriFv
256	99.66	MoveBG/MapObjBall	touchWater__11TMapObjBallFP9THitActor
252	99.65	Player/ModelWaterManager	loadAfter__18TModelWaterManagerFv
248	99.85	GC2D/GCConsole2	processAppearLife__11TGCConsole2Fi
248	99.76	MSound/MSHandle	setSeDistanceVolume__8MSHandleFUc
248	99.45	GC2D/Option	movementOption2Card__14TOptionControlFv
244	99.89	Enemy/koopajr	bind__17TKoopaJrSubmarineFv
244	99.79	Enemy/bosstelesa	forceAllItemKill__11TBossTelesaFv
240	99.97	MoveBG/Item	loadBeforeInit__6TShineFR20JSUMemoryInputStream
240	99.88	Player/MarioMove	warpRequest__6TMarioFRCQ29JGeometry8TVec3<f>f
224	99.41	Enemy/enemy	calcTurnSpeedToReach__11TSpineEnemyCFff
