size	fuzzy	unit	function
1448	99.92	Enemy/tobiPuku	execute__18TNerveTobiPukuLandCFP24TSpineBase<10TLiveActor>
1440	99.06	JSystem/JParticle/JPADrawVisitor	exec__30JPADrawExecRotDirectionalCrossFPC14JPADrawContextP15JPABaseParticle
1436	99.73	MoveBG/MapObjMonte	loadAfter__14THangingBridgeFv
1412	99.98	JSystem/JAudio/JAInterface/JAIGFrameSe	sendPlayingSeCommand__8JAIBasicFv
1412	99.95	Enemy/igaiga	generateByGateKeeper__9TGorogoroFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>
1408	99.95	Enemy/bossgesso	execute__18TNerveBGBeakDamageCFP24TSpineBase<10TLiveActor>
1396	99.59	Enemy/spider	bind__7TSpiderFP10TLiveActor
1396	99.17	Enemy/bgtentacle	__ct__11TBGTentacleFP10TBossGessoii
1396	99.10	Enemy/bosstelesa	calcRootMatrix__11TBossTelesaFv
1388	99.97	MoveBG/MapObjSirena	moveObject__13TItemSlotDrumFv
1384	99.82	GC2D/GCConsole2	startAppearLife__11TGCConsole2Fi
1376	99.85	Enemy/hinokuri2	init__10THinokuri2FP12TLiveManager
1376	99.65	Player/Yoshi	doSearch__6TYoshiFv
1372	99.96	Enemy/fireWanwan	emitEffects__11TFireWanwanFv
1368	99.03	JSystem/JParticle/JPADrawVisitor	exec__27JPADrawExecDirectionalCrossFPC14JPADrawContextP15JPABaseParticle
1364	99.77	MoveBG/MapObjBall	boundByActor__11TMapObjBallFP9THitActor
1360	99.96	Player/ModelWaterManager	drawRefracAndSpec__18TModelWaterManagerCFv
1352	99.09	Enemy/BossHanachanMain	init__13TBossHanachanFP12TLiveManager
1348	99.69	GC2D/GCConsole2	drawJuice__11TGCConsole2FR13J2DOrthoGraphUl
1336	99.85	GC2D/ConsoleStr	processReady__11TConsoleStrFi
1328	99.11	Camera/lensglow	perform__9TLensGlowFUlPQ26JDrama9TGraphics
1296	99.88	Enemy/amiNoko	execute__17TNerveAmiNokoTurnCFP24TSpineBase<10TLiveActor>
1288	99.98	JSystem/JAudio/JASystem/JASTrack	writeRegParam__Q28JASystem6TTrackFUc
1288	99.89	Enemy/bosseel	execute__26TNerveBossEelMouthOpenWaitCFP24TSpineBase<10TLiveActor>
1256	99.87	Enemy/namekuri	execute__24TNerveNameKuriJumpAttackCFP24TSpineBase<10TLiveActor>
1248	99.91	Enemy/hinokuri2	execute__22TNerveHino2GraphWanderCFP24TSpineBase<10TLiveActor>
1248	99.84	Enemy/enemyMario	emRunAwayToNearestNode__11TEnemyMarioFv
1244	99.99	M3DUtil/SampleCtrlNode	__ct__18SampleCtrlMaterialFP11J3DMaterial
1236	99.73	Enemy/tamaNoko	walkBehavior__9TTamaNokoFif
1232	99.95	GC2D/Option	loadSetting__14TOptionControlFv
1232	99.70	Enemy/poihana	execute__20TNervePoihanaTrappedCFP24TSpineBase<10TLiveActor>
1228	99.64	MoveBG/MapObjSirena	moveObject__9TSlotDrumFv
1220	99.89	MarioUtil/DrawUtil	movement__19TTrembleModelEffectFv
1212	99.76	GC2D/GCConsole2	startInsertLife__11TGCConsole2Fi
1208	99.01	Player/WaterGun	animation__11TNozzleBaseFi
1196	99.97	Player/MarioMove	playerControl__6TMarioFPQ26JDrama9TGraphics
1192	99.18	Enemy/amiNoko	execute__16TNerveAmiNokoDieCFP24TSpineBase<10TLiveActor>
1188	99.98	Enemy/fruitsboat	init__11TFruitsBoatFP12TLiveManager
1184	99.98	Enemy/hamukuri	behaveToWater__14TDangoHamuKuriFP9THitActor
1164	99.91	Enemy/bossManta	collidedWithWater__10TBossMantaFv
1164	99.81	Enemy/bgtentacle	moveConstraint__11TBGTentacleFv
1152	99.95	Enemy/bosseel	execute__16TNerveBossEelDieCFP24TSpineBase<10TLiveActor>
1148	99.93	Enemy/graph	getEscapeDirLimited__9TGraphWebCFiiRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fUl
1148	99.18	M3DUtil/MActorData	addFileTable__13MActorAnmDataFPCc
1144	99.85	Map/MapEventMare	initCommon__21TMareEventDepressWallFv
1144	99.83	Enemy/amiNoko	execute__24TNerveAmiNokoWalkOnFenceCFP24TSpineBase<10TLiveActor>
1136	99.73	NPC/NpcChange	behaveToHitObject___8TBaseNPCFP9THitActor20EnumHitNpcObjectKind
1128	99.99	Camera/cameragc	ctrlGameCamera___15CPolarSubCameraFv
1128	99.80	GC2D/GCConsole2	setTimer__11TGCConsole2Fl
1128	99.60	Enemy/bossgesso	bind__9TBGBinderFP10TLiveActor
1116	99.30	Enemy/smallEnemy	moveObject__11TSmallEnemyFv
1116	99.05	JSystem/JParticle/JPADrawVisitor	exec__25JPADrawExecRotDirectionalFPC14JPADrawContextP15JPABaseParticle
1112	99.80	Enemy/bosstelesa	moveObject__11TTelesaSlotFv
