unit	function	size	fuzzy	verdict	reason
mario/Animal/boid	calcBoids__11TBoidLeaderFv	2184	96.09	UNSUPPORTED	stack: access inside address-taken object differs (P 272 vs Q 128)
mario/Animal/AnimalBase	SMS_Eular2Quat__FRCQ29JGeometry8TVec3<f>	424	96.97	DIFFERENT	block 0 return value f1 differs (0x1444 'bclr 20,lt,0')
mario/Animal/AnimalBase	init__11TAnimalBaseFP12TLiveManager	656	99.82	EQUIVALENT	L1: frame 152/112
mario/Animal/AnimalBase	perform__11TAnimalBaseFUlPQ26JDrama9TGraphics	824	92.54	UNSUPPORTED	stack: address-taken object layout differs (P 120 vs Q 120)
mario/Animal/AnimalBase	MsClamp<f>__Ffff	32	0.00	UNSUPPORTED	ours: symbol missing
mario/Animal/AnimalBase	execWalk__11TAnimalBaseFb	1020	90.25	UNSUPPORTED	cfg: 22 vs 26 blocks
mario/Animal/Bird	load__11TAnimalBirdFR20JSUMemoryInputStream	340	99.96	UNSUPPORTED	stack: address-taken object extent differs (P 52..72 vs Q 48..72)
mario/Animal/Bird	receiveMessage__11TAnimalBirdFP9THitActorUl	932	99.97	EQUIVALENT	L1
mario/Animal/Bird	moveObject__11TAnimalBirdFv	956	97.78	UNSUPPORTED	cfg: 55 vs 57 blocks
mario/Animal/Bird	doFlyToCurPathNode__11TAnimalBirdFv	896	95.35	DIFFERENT	block 9 effect 8 icall args differ: f1/f2/f3/f4/f5/f6/f7/f8: 0x276c 'bclrl 20,lt,0' vs 0x2f9c 'bclrl 20,lt,0'
mario/Animal/Bird	doLanding__11TAnimalBirdFb	964	93.40	DIFFERENT	block 6 effect 2 icall args differ: f4/f5/f6/f7/f8: 0x22ac 'bclrl 20,lt,0' vs 0x2944 'bclrl 20,lt,0'
mario/Animal/Bird	execute__28TNerveAnimalBirdWaitOnGroundCFP24TSpineBase<10TLiveActor>	680	99.94	EQUIVALENT	L1
mario/Animal/Bird	execute__28TNerveAnimalBirdWalkOnGroundCFP24TSpineBase<10TLiveActor>	896	93.12	UNSUPPORTED	stack: access inside address-taken object differs (P 72 vs Q 56)
mario/Animal/Bird	execute__27TNerveAnimalBirdGraphWanderCFP24TSpineBase<10TLiveActor>	800	99.76	EQUIVALENT	L1: frame 160/184
mario/Animal/BeeHive	reset__8TBeeHiveFv	936	99.80	EQUIVALENT	L1: frame 304/320
mario/Animal/BeeHive	load__8TBeeHiveFR20JSUMemoryInputStream	496	95.79	UNSUPPORTED	stack: address-taken object extent differs (P 80..208 vs Q 52..184)
mario/Animal/BeeHive	receiveMessage__8TBeeHiveFP9THitActorUl	920	98.80	UNSUPPORTED	stack: address-taken object layout differs (P 136 vs Q 120)
mario/Animal/BeeHive	bind__8TBeeHiveFv	608	99.78	EQUIVALENT	L1
mario/Animal/BeeHive	controlCollision__8TBeeHiveFv	192	89.58	EQUIVALENT	L2: saved 4/3 regs
mario/Animal/BeeHive	setSQ__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>FRCQ29JGeometry8TVec3<f>RCQ29JGeometry9TQuat4<f>	256	91.05	DIFFERENT	block 0 effect 2 address differs: 0x20a8 'lfs f7,0(r5)' vs 0x2f40 'lfs f0,12(r5)'
mario/Animal/BeeHive	doWait__8TBeeHiveFv	1676	95.47	UNSUPPORTED	stack: unpaired address-taken slot
mario/Animal/BeeHive	getCenterOfGravity__8TBeeHiveCFv	812	85.90	UNSUPPORTED	cfg: 11 vs 10 blocks
mario/Animal/BeeHive	execute__17TNerveBeeHiveWaitCFP24TSpineBase<10TLiveActor>	640	97.87	DIFFERENT	block 5 effect 12 address differs: 0x100c 'lwz r5,336(r31)' vs 0x12bc 'lwz r4,16(r31)'
mario/Animal/BeeHive	execute__18TNerveBeeHiveBreakCFP24TSpineBase<10TLiveActor>	660	93.99	UNSUPPORTED	stack: unpaired address-taken slot
mario/Animal/BeeHive	execute__19TNerveBeeHiveAttackCFP24TSpineBase<10TLiveActor>	912	95.61	UNSUPPORTED	stack: unpaired address-taken slot
mario/Animal/BeeHive	execute__25TNerveBeeHiveMarioWaterInCFP24TSpineBase<10TLiveActor>	748	94.50	UNSUPPORTED	stack: unpaired address-taken slot
mario/MSound/MAnmSound	startAnimSound__12MAnmSoundNPCFPvUlPP8JAISoundP8JAIActorUc	600	99.50	EQUIVALENT	L1
mario/MSound/MSound	setParameterSeqSync__12MSSeCallBackFPQ28JASystem6TTrackUs	1292	98.75	DIFFERENT	block 72 return value r4 differs (0x2ba0 'bclr 20,lt,0')
mario/MSound/MSound	exitStage__6MSoundFv	320	99.92	EQUIVALENT	L1
mario/MSound/MSound	__ct__6MSoundFP7JKRHeapP7JKRHeapUlPUcPUcUl	836	99.78	EQUIVALENT	L1: frame 136/128
mario/MSound/MSound	startMarioVoice__6MSoundFUlsUc	1768	99.82	UNSUPPORTED	stack: address-taken object extent differs (P 88..160 vs Q 52..120)
mario/MSound/MSoundScene	frameLoop__9MSSceneSEFUlP3VecUc	1048	96.82	DIFFERENT	block 25 effect 1 address differs: 0x3cc 'lwz r0,1064(r25)' vs 0x3d8 'lwz r0,0(r26)'
mario/MSound/MSoundScene	sortMaxTrans__9MSSceneSEFP3VecUcUc	468	99.27	DIFFERENT	block 2 effect 3: 0x64 'lwzx r4,r25,r28' vs 0x70 'lwz r4,0(r26)'
mario/MSound/MSoundSE	__sinit_MSoundSE_cpp	856	99.97	EQUIVALENT	L1: frame 56/16
mario/MSound/MSoundSE	__ct__29MSSetSoundTL<13MSSetSoundGrp>FUlPCcP13MSSetSoundGrpUcUcUcUcfUcffffflflfffb	600	99.79	EQUIVALENT	L1: frame 296/192
mario/MSound/MSoundSE	__ct__Q214MSoundSESystem9MSRandVolFUl	168	99.83	EQUIVALENT	L1: frame 32/24
mario/MSound/MSoundSE	getRandVol__Q214MSoundSESystem9MSRandVolFUl	124	99.29	DIFFERENT	block 0 effect 2 address differs: 0x2654 'lfs f3,28(r4)' vs 0x2eec 'lfs f2,44(r4)'
mario/MSound/MSoundSE	__ct__Q214MSoundSESystem10MSRandPlayFUlllff	160	99.62	EQUIVALENT	L1: frame 72/64
mario/MSound/MSoundSE	randPlay__Q214MSoundSESystem10MSRandPlayFUl	452	99.96	UNSUPPORTED	stack: address-taken object extent differs (P 20..64 vs Q 24..64)
mario/MSound/MSoundSE	construct__Q214MSoundSESystem8MSoundSEFv	4828	100.00	EQUIVALENT	L1
mario/MSound/MSoundSE	startSoundActorWithInfo__Q214MSoundSESystem8MSoundSEFUlPC3VecP3VecfUlUlPP8JAISoundUlUc	624	99.92	UNSUPPORTED	stack: address-taken object extent differs (P 80..136 vs Q 76..136)
mario/MSound/MSoundSE	startSoundActorInner__Q214MSoundSESystem8MSoundSEFUlPP8JAISoundP8JAIActorUlUc	960	99.98	EQUIVALENT	L1: frame 88/80
mario/MSound/MSoundSE	startSoundNpcActor__Q214MSoundSESystem8MSoundSEFUlPC3VecUlPP8JAISoundUlUc	272	99.72	UNSUPPORTED	stack: address-taken object extent differs (P 100..136 vs Q 88..120)
mario/MSound/MSoundStruct	startSoundSetDyna__29MSSetSoundTL<13MSSetSoundGrp>FUlPC3VecUlfUlUlUcP13MSSetSoundGrp	1868	98.41	UNSUPPORTED	cfg: 67 vs 68 blocks
mario/MSound/MSoundStruct	__ct__26MSSetSoundTL<10MSSetSound>FUlPCcP10MSSetSoundUcUcUcUcfUcffffflflfffb	600	99.79	EQUIVALENT	L1: frame 296/192
mario/MSound/MSoundStruct	startSoundSetDyna__26MSSetSoundTL<10MSSetSound>FUlPC3VecUlfUlUlUcP13MSSetSoundGrp	1868	98.41	UNSUPPORTED	cfg: 67 vs 68 blocks
mario/MSound/MSHandle	setSeDistanceVolume__8MSHandleFUc	248	99.76	EQUIVALENT	L1
mario/MSound/MSModBgm	modBgm__8MSModBgmFUcUc	252	96.51	EQUIVALENT	L2
mario/MSound/MSModBgm	xFadeBgm__10MSBgmXFadeFf	272	99.40	DIFFERENT	block 5 branch: 0x148 'bc 4,eq,150 <xFadeBgm__10MSBgmXFadeFf+0x74>' vs 0x1f4 'bc 4,eq,1fc <xFadeBgm__10MSBgmXFadeFf+0x74>'
mario/THPPlayer/THPAudioDecode	AudioDecoderForOnMemory__FPv	176	89.27	EQUIVALENT	L2
mario/Camera/CameraBGCheck	calcInHouseNo___15CPolarSubCameraFb	1600	97.31	UNSUPPORTED	stack: unpaired address-taken slot
mario/Camera/CameraBGCheck	isNeedGroundCheck___15CPolarSubCameraFv	364	99.78	EQUIVALENT	L1
mario/Camera/CameraBGCheck	execWallCheck___15CPolarSubCameraFP3Vec	564	99.87	DIFFERENT	block 17 effect 3: 0x3e0 'lfs f0,56(r5)' vs 0x3c4 'lwz r3,128(r28)'
mario/Camera/CameraBGCheck	execGroundCheck___15CPolarSubCameraF3Vec	336	99.98	EQUIVALENT	L1
mario/Camera/CameraChange	changeCamModeSub___15CPolarSubCameraFiib	1652	99.61	UNSUPPORTED	cfg: 91 vs 90 blocks
mario/Camera/CameraChange	execCameraModeChangeProc___15CPolarSubCameraFi	2544	99.99	EQUIVALENT	L1: frame 256/176
mario/Camera/cameragc	__ct__15CPolarSubCameraFPCc	1088	99.99	EQUIVALENT	L1
mario/Camera/cameragc	loadAfter__15CPolarSubCameraFv	2096	99.58	UNSUPPORTED	stack: address-taken object layout differs (P 220 vs Q 92)
mario/Camera/cameragc	calcSlopeAngleX___15CPolarSubCameraFPs	760	98.07	DIFFERENT	block 11 branch: 0x1be4 'bc 12,eq,1bec <calcSlopeAngleX___15CPolarSubCameraFPs+0xb4>' vs 0x1db4 'bc 12,eq,1dbc <calcSlopeAngleX___15CPolarSubCameraFPs+0xb4>'
mario/Camera/cameragc	calcPosAndAt___15CPolarSubCameraFv	4004	96.26	DIFFERENT	block 12 branch: 0xc9c 'bc 12,eq,cb8 <calcPosAndAt___15CPolarSubCameraFv+0x124>' vs 0xe64 'bc 12,eq,e80 <calcPosAndAt___15CPolarSubCameraFv+0x12c>'
mario/Camera/cameragc	perform__15CPolarSubCameraFUlPQ26JDrama9TGraphics	964	99.66	EQUIVALENT	L1: frame 104/64
mario/Camera/cameralib	CLBRotatePosAndUp__FssRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>	1144	97.85	UNSUPPORTED	stack: address-taken object layout differs (P 512 vs Q 480)
mario/Camera/cameralib	CLBIsPointInCube__FRC3VecRC3VecRC3VecRC3Vec	508	98.94	EQUIVALENT	L1: frame 152/112
mario/Camera/cameralib	CLBCalcPointInCubeRatio__FRC3VecRC3VecRC3VecRC3VecPfPfPf	468	98.88	EQUIVALENT	L1: frame 176/128
mario/Camera/cameralib	CLBCalcNearNinePos__FPQ29JGeometry8TVec3<f>P6S16VecRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>sfRCQ29JGeometry8TVec2<f>	1836	91.99	DIFFERENT	block 2 effect 1 call args differ: f1: 0x1a8 'bl 1a8 <CLBCalcNearNinePos__FPQ29JGeometry8TVec3<f>P6S16VecRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>sfRCQ29JGeometry8TVec2<f>+0x1a8>' vs 0x2b4 'bl 2b4 <CLBCalcNearNinePos__FPQ29JGeometry8TVec3<f>P6S16VecRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>sfRCQ29JGeometry8TVec2<f>+0x1ac>'
mario/Camera/CameraNotice	getNoticeActor___15CPolarSubCameraFv	824	97.08	DIFFERENT	block 42 return value f1 differs (0x91c 'bclr 20,lt,0')
mario/Camera/CameraNotice	calcNoticeTargetYrot___15CPolarSubCameraFRC3Vec	516	93.88	DIFFERENT	block 0 branch: 0x3b4 'bc 4,gt,4fc <calcNoticeTargetYrot___15CPolarSubCameraFRC3Vec+0x1dc>' vs 0x438 'bc 4,gt,580 <calcNoticeTargetYrot___15CPolarSubCameraFRC3Vec+0x1dc>'
mario/Camera/CameraNotice	ctrlLButtonCamera___15CPolarSubCameraFv	528	99.79	EQUIVALENT	L1: frame 112/80
mario/Camera/CameraNormal	ctrlNormalOrTowerCamera___15CPolarSubCameraFv	1204	98.32	DIFFERENT	block 41 effect 3 address differs: 0x36c 'lfsx f0,r4,r0' vs 0x364 'lfsx f0,r4,r0'
mario/Camera/lensflare	perform__10TLensFlareFUlPQ26JDrama9TGraphics	1512	94.83	UNSUPPORTED	stack: address-taken object layout differs (P 572 vs Q 164)
mario/Camera/lensglow	perform__9TLensGlowFUlPQ26JDrama9TGraphics	1328	99.11	UNSUPPORTED	stack: address-taken object extent differs (P 204..376 vs Q 200..376)
mario/Camera/CameraJetCoaster	ctrlJetCoasterCamera___15CPolarSubCameraFv	2784	97.79	DIFFERENT	block 3 effect 0: 0x124 'lhz r3,0(r4)' vs 0x280 'sth r0,0(r4)'
mario/Camera/CameraDemo	updateDemoCamera___15CPolarSubCameraFb	852	99.73	EQUIVALENT	L1
mario/Enemy/conductor	isBossDefeated__10TConductorFv	480	98.83	UNSUPPORTED	cfg: 29 vs 28 blocks
mario/Enemy/conductor	genEnemyFromPollution__10TConductorFv	844	99.91	UNSUPPORTED	stack: address-taken object layout differs (P 140 vs Q 136)
mario/Enemy/effectObj	perform__14TEffectObjBaseFUlPQ26JDrama9TGraphics	88	90.77	EQUIVALENT	L1: frame 32/8, saved 1/0 regs
mario/Enemy/effectObj	moveObject__14TEffectObjBaseFv	464	98.84	DIFFERENT	block 3 effect 1 call args differ: f1/f2: 0x1d44 'bl 1d44 <moveObject__14TEffectObjBaseFv+0xa4>' vs 0x22b0 'bl 22b0 <moveObject__14TEffectObjBaseFv+0xa4>'
mario/Enemy/effectObj	generate__17TEffectColumWaterFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>	312	91.95	DIFFERENT	block 0 effect 12: 0x1128 'stw r3,36(r29)' vs 0x13dc 'lwz r0,32(r1)'
mario/Enemy/emario	load__7TEMarioFR20JSUMemoryInputStream	720	99.89	UNSUPPORTED	stack: address-taken object layout differs (P 192 vs Q 124)
mario/Enemy/emario	init__7TEMarioFP12TLiveManager	436	99.92	EQUIVALENT	L1: frame 136/96
mario/Enemy/emario	perform__7TEMarioFUlPQ26JDrama9TGraphics	752	98.18	EQUIVALENT	L2: frame 304/328
mario/Enemy/enemy	calcEnemyRootMatrix__11TSpineEnemyFv	956	97.78	EQUIVALENT	L1: frame 296/272
mario/Enemy/enemy	calcTurnSpeedToReach__11TSpineEnemyCFff	224	99.41	EQUIVALENT	L1: frame 48/40
mario/Enemy/enemy	goToShortestNextGraphNode__11TSpineEnemyFv	292	99.78	EQUIVALENT	L1
mario/Enemy/enemy	jumpToNextGraphNode__11TSpineEnemyFv	288	99.78	EQUIVALENT	L1
mario/Enemy/enemy	goToRandomNextGraphNode__11TSpineEnemyFv	260	99.75	EQUIVALENT	L1
mario/Enemy/enemy	goToRandomEscapeGraphNode__11TSpineEnemyFv	264	99.76	EQUIVALENT	L1
mario/Enemy/enemy	goToExclusiveNextGraphNode__11TSpineEnemyFv	588	99.76	EQUIVALENT	L1: frame 368/352
mario/Enemy/enemy	goToDirectedNextGraphNode__11TSpineEnemyFRCQ29JGeometry8TVec3<f>	276	99.70	EQUIVALENT	L1: frame 152/144
mario/Enemy/enemy	goToDirLimitedNextGraphNode__11TSpineEnemyFf	432	99.85	EQUIVALENT	L1
mario/Enemy/enemy	walkToCurPathNode__11TSpineEnemyFfff	1252	99.10	EQUIVALENT	L1: frame 224/200
mario/Enemy/enemy	zigzagToCurPathNode__11TSpineEnemyFffff	1240	95.96	DIFFERENT	block 24 effect 1 call args differ: f2/f3: 0x7d4 'bl 7d4 <zigzagToCurPathNode__11TSpineEnemyFffff+0x2b8>' vs 0xa60 'bl a60 <zigzagToCurPathNode__11TSpineEnemyFffff+0x2b4>'
mario/Enemy/enemy	doShortCut__11TSpineEnemyFv	800	99.64	EQUIVALENT	L1
mario/Enemy/enemyAttachment	bind__16TEnemyAttachmentFv	640	99.96	EQUIVALENT	L1
mario/Enemy/enemyAttachment	generatePolluteModel__25TEnemyPolluteModelManagerFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>	392	99.92	UNSUPPORTED	stack: address-taken object layout differs (P 64 vs Q 48)
mario/Enemy/enemymanager	createEnemies__13TEnemyManagerFi	340	99.72	UNSUPPORTED	stack: address-taken object extent differs (P 132..176 vs Q 112..152)
mario/Enemy/enemymanager	performShared__13TEnemyManagerFUlPQ26JDrama9TGraphics	1012	99.72	EQUIVALENT	L1
mario/Enemy/enemymanager	copyAnmMtx__13TEnemyManagerFP11TSpineEnemy	436	99.71	EQUIVALENT	L1
mario/Enemy/enemyMario	initModel__11TEnemyMarioFv	1560	99.91	UNSUPPORTED	stack: address-taken object extent differs (P 440..760 vs Q 344..672)
mario/Enemy/enemyMario	initEnemyValues__11TEnemyMarioFv	4432	99.75	DIFFERENT	block 92 branch: 0x4938 'bc 4,gt,496c <initEnemyValues__11TEnemyMarioFv+0xf0c>' vs 0x5d90 'bc 4,gt,5dc4 <initEnemyValues__11TEnemyMarioFv+0xf0c>'
mario/Enemy/enemyMario	emWaiting__11TEnemyMarioFv	280	99.87	EQUIVALENT	L1: frame 56/64
mario/Enemy/enemyMario	emReplayJumpToNearestNode__11TEnemyMarioFv	2020	98.09	UNSUPPORTED	stack: address-taken object layout differs (P 560 vs Q 484)
mario/Enemy/enemyMario	findRunAwayNearestNode__11TEnemyMarioFv	676	98.82	DIFFERENT	block 1 effect 0 address differs: 0x2400 'lwz r0,0(r3)' vs 0x2ef0 'lwz r3,0(r4)'
mario/Enemy/enemyMario	emRunAwayToNearestNode__11TEnemyMarioFv	1248	99.84	EQUIVALENT	L1
mario/Enemy/enemyMario	emWaitingToInviteMario__11TEnemyMarioFv	412	99.97	EQUIVALENT	L1
mario/Enemy/enemyMario	consider__11TEnemyMarioFv	2132	99.93	UNSUPPORTED	stack: store-only slot at a different SP offset (possible outgoing argument): 0x1b28 'stw r0,496(r1)' vs 0x1e0c 'stw r0,520(r1)'
mario/Enemy/enemyMario	drawHPMeter__11TEnemyMarioFPA4_f	676	99.17	DIFFERENT	block 0 effect 51 stored value differs: 0x8d8 'stfs f28,-32768(r31)' vs 0x998 'stfs f25,-32768(r31)'
mario/Enemy/enemyMario	perform__11TEnemyMarioFUlPQ26JDrama9TGraphics	1456	99.88	UNSUPPORTED	stack: address-taken object extent differs (P 304..440 vs Q 276..416)
mario/Enemy/feetinv	FeetInvCalc__FP8J3DModelUsUsUsf	2560	96.64	UNSUPPORTED	stack: inconsistent slot mapping (P 412 vs Q 464)
mario/Enemy/gesso	initSetEnemies__13TGessoManagerFv	188	99.79	EQUIVALENT	L1: frame 232/32
mario/Enemy/gesso	GessoBodyCallback__FP7J3DNodei	432	97.47	EQUIVALENT	L2: frame 184/200
mario/Enemy/gesso	set__16TGessoPolluteObjFv	320	99.83	EQUIVALENT	L1
mario/Enemy/gesso	execute__17TNerveGessoFreezeCFP24TSpineBase<10TLiveActor>	1100	99.80	EQUIVALENT	L1: frame 168/160
mario/Enemy/gesso	execute__15TNerveGessoFallCFP24TSpineBase<10TLiveActor>	1808	99.97	EQUIVALENT	L1
mario/Enemy/graph	__ct__11TSplineRailFPC9TGraphWeb	1452	99.68	EQUIVALENT	L1: frame 392/320
mario/Enemy/graph	getPosAndRot__11TSplineRailFfPQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>	564	99.60	EQUIVALENT	L1: frame 248/232
mario/Enemy/graph	getRandomButDirLimited__9TGraphWebCFiiRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fUl	1068	99.99	EQUIVALENT	L1
mario/Enemy/graph	getEscapeDirLimited__9TGraphWebCFiiRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fUl	1148	99.94	EQUIVALENT	L1
mario/Enemy/graph	getNearestPosOnGraphLink__9TGraphWebCFRCQ29JGeometry8TVec3<f>	712	99.72	EQUIVALENT	L1
mario/Enemy/graph	initGraphGroup__11TGraphGroupFv	484	99.90	EQUIVALENT	L1
mario/Enemy/graph	perform__11TGraphGroupFUlPQ26JDrama9TGraphics	88	96.82	DIFFERENT	block 4 return value r4 differs (0x614 'bclr 4,lt,0')
mario/Enemy/graph	calcSplineSpeed__12TGraphTracerFf	624	98.12	EQUIVALENT	L2: frame 344/200
mario/Enemy/graph	traceSpline__12TGraphTracerFf	380	99.05	EQUIVALENT	L1
mario/Enemy/hamukuri	bind__9THamuKuriFv	608	99.95	EQUIVALENT	L1
mario/Enemy/hamukuri	jumpToSearchActor__9THamuKuriFv	436	99.89	EQUIVALENT	L1: frame 104/96
mario/Enemy/hamukuri	getTakingMtx__9THamuKuriFv	256	99.67	EQUIVALENT	L1: frame 224/184
mario/Enemy/hamukuri	forceRoll__9THamuKuriFQ29JGeometry8TVec3<f>b	516	99.89	EQUIVALENT	L1
mario/Enemy/hamukuri	walkBehavior__13THaneHamuKuriFif	2208	99.90	DIFFERENT	block 21 effect 2 address differs: 0x5d74 'lfs f29,1168(r5)' vs 0x6918 'lfs f30,1188(r4)'
mario/Enemy/hamukuri	bind__13THaneHamuKuriFv	480	99.94	EQUIVALENT	L1
mario/Enemy/hamukuri	receiveMessage__14TDangoHamuKuriFP9THitActorUl	512	99.95	EQUIVALENT	L1: frame 72/40
mario/Enemy/hamukuri	behaveToWater__14TDangoHamuKuriFP9THitActor	1184	99.98	EQUIVALENT	L1
mario/Enemy/hamukuri	execute__29TNerveHaneHamuKuriMoveOnGraphCFP24TSpineBase<10TLiveActor>	768	99.85	EQUIVALENT	L1
mario/Enemy/hinokuri2	perform__10THino2MaskFUlPQ26JDrama9TGraphics	744	99.65	EQUIVALENT	L1
mario/Enemy/hinokuri2	Hino2HeadCallback__FP7J3DNodei	500	92.35	EQUIVALENT	L2: frame 256/240
mario/Enemy/hinokuri2	init__10THinokuri2FP12TLiveManager	1376	99.85	EQUIVALENT	L1: frame 504/472
mario/Enemy/hinokuri2	moveObject__10THinokuri2Fv	1812	99.87	UNSUPPORTED	stack: address-taken object layout differs (P 328 vs Q 168)
mario/Enemy/hinokuri2	execute__22TNerveHino2GraphWanderCFP24TSpineBase<10TLiveActor>	1248	99.91	UNSUPPORTED	stack: address-taken object layout differs (P 212 vs Q 168)
mario/Enemy/hinokuri2	execute__17TNerveHino2JumpInCFP24TSpineBase<10TLiveActor>	364	99.56	EQUIVALENT	L1: frame 104/80
mario/Enemy/hinokuri2	execute__18TNerveHino2LandingCFP24TSpineBase<10TLiveActor>	192	99.85	EQUIVALENT	L1: frame 96/64
mario/Enemy/hinokuri2	execute__15TNerveHino2TurnCFP24TSpineBase<10TLiveActor>	612	98.37	UNSUPPORTED	cfg: 38 vs 36 blocks
mario/Enemy/hinokuri2	execute__14TNerveHino2DieCFP24TSpineBase<10TLiveActor>	556	99.89	EQUIVALENT	L1
mario/Enemy/mameGesso	execute__21TNerveMameGessoThrownCFP24TSpineBase<10TLiveActor>	584	99.78	DIFFERENT	block 22 effect 2 icall args differ: f2/f3: 0x778 'bclrl 20,lt,0' vs 0x88c 'bclrl 20,lt,0'
mario/Enemy/namekuri	execute__19TNameIndParCallbackFP14JPABaseEmitterP15JPABaseParticle	952	98.71	EQUIVALENT	L2: frame 288/264
mario/Enemy/namekuri	NameKuriAttackCallback__FP7J3DNodei	404	96.40	UNSUPPORTED	stack: unpaired address-taken slot
mario/Enemy/namekuri	calcRootMatrix__9TNameKuriFv	928	99.44	UNSUPPORTED	stack: access inside address-taken object differs (P 232 vs Q 184)
mario/Enemy/namekuri	setDeadAnm__9TNameKuriFv	344	99.93	EQUIVALENT	L1
mario/Enemy/namekuri	setMeltAnm__9TNameKuriFv	344	99.93	EQUIVALENT	L1
mario/Enemy/namekuri	execute__24TNerveNameKuriJumpAttackCFP24TSpineBase<10TLiveActor>	1256	99.87	DIFFERENT	block 9 effect 2 icall args differ: r5: 0x94c 'bclrl 20,lt,0' vs 0x9d8 'bclrl 20,lt,0'
mario/Enemy/pakkun	PakkunSeedCallback__FP7J3DNodei	272	93.24	EQUIVALENT	L2: frame 160/152
mario/Enemy/pakkun	PakkunRootCallback2__FP7J3DNodei	180	99.11	EQUIVALENT	L1
mario/Enemy/pakkun	init__7TPakkunFP12TLiveManager	680	99.95	EQUIVALENT	L1: frame 184/192
mario/Enemy/pakkun	loadInit__11TPakkunSeedFP11TSpineEnemyPCc	384	99.93	UNSUPPORTED	stack: address-taken object layout differs (P 140 vs Q 144)
mario/Enemy/pakkun	rebirth__11TPakkunSeedFv	548	98.45	UNSUPPORTED	cfg: 20 vs 21 blocks
mario/Enemy/pakkun	set<f>__Q29JGeometry8TVec3<f>Ffff	16	0.00	UNSUPPORTED	ours: symbol missing
mario/Enemy/pakkun	load__11TStayPakkunFR20JSUMemoryInputStream	212	80.09	UNSUPPORTED	stack: address-taken slots only on one side
mario/Enemy/pakkun	execute__16TNervePakkunStayCFP24TSpineBase<10TLiveActor>	2740	99.60	UNSUPPORTED	stack: address-taken object layout differs (P 628 vs Q 696)
mario/Enemy/pakkun	execute__18TNervePakkunAppearCFP24TSpineBase<10TLiveActor>	276	98.55	EQUIVALENT	L2
mario/Enemy/smallEnemy	init__11TSmallEnemyFP12TLiveManager	908	99.93	EQUIVALENT	L1
mario/Enemy/smallEnemy	genEventCoin__11TSmallEnemyFv	772	99.92	UNSUPPORTED	stack: access inside address-taken object differs (P 108 vs Q 40)
mario/Enemy/smallEnemy	moveObject__11TSmallEnemyFv	1116	99.90	UNSUPPORTED	stack: address-taken object extent differs (P 60..176 vs Q 80..176)
mario/Enemy/smallEnemy	receiveMessage__11TSmallEnemyFP9THitActorUl	560	99.94	EQUIVALENT	L1: frame 88/40
mario/Enemy/spider	bind__7TSpiderFP10TLiveActor	1396	99.59	UNSUPPORTED	stack: address-taken object extent differs (P 200..344 vs Q 140..288)
mario/Enemy/walker	calcFarthestVertex__FPC12TBGCheckDataRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	456	99.81	EQUIVALENT	L1: frame 112/88
mario/Enemy/walker	bind__7TWalkerFP10TLiveActor	3172	98.04	UNSUPPORTED	stack: access inside address-taken object differs (P 584 vs Q 504)
mario/Enemy/bossgesso	moveRequest__10TBGBeakHitFRCQ29JGeometry8TVec3<f>	416	99.90	EQUIVALENT	L1
mario/Enemy/bossgesso	receiveMessage__10TBGBeakHitFP9THitActorUl	1888	99.95	EQUIVALENT	L1: frame 256/192
mario/Enemy/bossgesso	perform__10TBGBeakHitFUlPQ26JDrama9TGraphics	1624	99.78	UNSUPPORTED	stack: address-taken object extent differs (P 228..312 vs Q 144..232)
mario/Enemy/bossgesso	bind__9TBGBinderFP10TLiveActor	1128	99.63	UNSUPPORTED	stack: address-taken object extent differs (P 164..256 vs Q 120..208)
mario/Enemy/bossgesso	init__10TBossGessoFP12TLiveManager	2240	99.87	UNSUPPORTED	stack: address-taken object layout differs (P 552 vs Q 564)
mario/Enemy/bossgesso	lenFromToeToMario__10TBossGessoFv	412	99.86	EQUIVALENT	L1: frame 72/48
mario/Enemy/bossgesso	changeAllTentacleState__10TBossGessoFi	164	94.12	UNSUPPORTED	cfg: 11 vs 10 blocks
mario/Enemy/bossgesso	doAttackSingle__10TBossGessoFv	2648	93.29	UNSUPPORTED	cfg: 147 vs 140 blocks
mario/Enemy/bossgesso	SMS_GetMarioPos__Fv	8	0.00	UNSUPPORTED	ours: symbol missing
mario/Enemy/bossgesso	moveObject__10TBossGessoFv	1724	97.82	DIFFERENT	block 33 effect 3: 0x4358 'lfs f30,764(r3)' vs 0x4604 'lwz r6,0(0)'
