category	unit	fuzzy%	size	demangled	symbol	vaddr
game	mario/Enemy/BathtubKiller	92.61	1532	TBathtubKiller::makeQuat(JGeometry::TVec3<float>, float, float)	makeQuat__14TBathtubKillerFQ29JGeometry8TVec3<f>ff	2148734024
game	mario/MarioUtil/MtxUtil	92.71	1304	TMultiMtxEffect::setup(J3DModel*, const char*)	setup__15TMultiMtxEffectFP8J3DModelPCc	2149760984
game	mario/Player/ModelWaterManager	92.71	1000	TWaterEmitInfo::TWaterEmitInfo(const char*)	__ct__14TWaterEmitInfoFPCc	2150106868
game	mario/NPC/NpcEvent	92.75	484	ev__ForceStartTalkExceptNpc__FP32TSpcTypedInterp<13TEventWatcher>Ul	ev__ForceStartTalkExceptNpc__FP32TSpcTypedInterp<13TEventWatcher>Ul	2149646136
game	mario/MoveBG/MapObjPlane	92.77	1220	TMapObjPlane::calcNrm(int, int)	calcNrm__12TMapObjPlaneFii	2149444604
game	mario/Enemy/TabePuku	93.04	420	TTPHitActor::updateTerrainCollsion()	updateTerrainCollsion__11TTPHitActorFv	2148766524
game	mario/GC2D/Menu	93.07	464	TMenuPlane::TMenuPlane(const TMarioGamePad*, J2DPane*, unsigned long, unsigned long)	__ct__10TMenuPlaneFPC13TMarioGamePadP7J2DPaneUlUl	2148790808
game	mario/Enemy/BossHanachanParts	93.10	308	TBossHanachanPartsBody::setAnm_(EnumBossHanachanAnmKind, EnumBossHanachanStopMotionBlendOnOff)	setAnm___22TBossHanachanPartsBodyF23EnumBossHanachanAnmKind36EnumBossHanachanStopMotionBlendOnOff	2148480220
game	mario/Animal/Bird	93.12	896	TNerveAnimalBirdWalkOnGround::execute(TSpineBase<TLiveActor>*) const	execute__28TNerveAnimalBirdWalkOnGroundCFP24TSpineBase<10TLiveActor>	2147532104
game	mario/Map/MapMakeList	93.14	1400	TMapCollisionData::addCheckDataToGrid(TBGCheckData*, int)	addCheckDataToGrid__17TMapCollisionDataFP12TBGCheckDatai	2149131008
game	mario/Enemy/pakkun	93.24	272	PakkunSeedCallback(J3DNode*, int)	PakkunSeedCallback__FP7J3DNodei	2147917036
game	mario/Enemy/bossgesso	93.29	2648	TBossGesso::doAttackSingle()	doAttackSingle__10TBossGessoFv	2147973568
game	mario/System/EventWatcher	93.31	1288	evIsNearSameActors(TSpcTypedInterp<TEventWatcher>*, unsigned long)	evIsNearSameActors__FP32TSpcTypedInterp<13TEventWatcher>Ul	2150177712
game	mario/Animal/Bird	93.40	964	TAnimalBird::doLanding(bool)	doLanding__11TAnimalBirdFb	2147536136
game	mario/Enemy/TabePuku	93.45	388	TTabePuku::getTakingMtx()	getTakingMtx__9TTabePukuFv	2148763572
game	mario/MarioUtil/MtxUtil	93.60	396	TRope::moveHead(const JGeometry::TVec3<float>&)	moveHead__5TRopeFRCQ29JGeometry8TVec3<f>	2149757276
game	mario/Enemy/Koopa	93.72	2516	@unnamed@::KoopaNeckCallBack(J3DNode*, int)	KoopaNeckCallBack__9@unnamed@FP7J3DNodei	2148684704
game	mario/Player/MarioAccess	93.83	72	SMS_IsMarioOnWire()	SMS_IsMarioOnWire__Fv	2150053820
game	mario/Camera/CameraNotice	93.88	516	CPolarSubCamera::calcNoticeTargetYrot_(const Vec&)	calcNoticeTargetYrot___15CPolarSubCameraFRC3Vec	2147652848
game	mario/System/CardManager	93.93	112	TCardManager::decideUseSector(TCardManager::TCriteria*)	decideUseSector__12TCardManagerFPQ212TCardManager9TCriteria	2150315040
game	mario/Player/WaterGun	93.93	936	TNozzleDeform::emit(int)	emit__13TNozzleDeformFi	2150020480
game	mario/Animal/BeeHive	93.99	660	TNerveBeeHiveBreak::execute(TSpineBase<TLiveActor>*) const	execute__18TNerveBeeHiveBreakCFP24TSpineBase<10TLiveActor>	2147545256
game	mario/MarioUtil/DrawUtil	94.00	536	TTrembleModelEffect::clash(float)	clash__19TTrembleModelEffectFf	2149739900
game	mario/Enemy/hauntLeg	94.01	368	HauntLegCallback(J3DNode*, int)	HauntLegCallback__FP7J3DNodei	2148561432
game	mario/Enemy/BossHanachanSub	94.03	140	BHSCalcRevisionDistXZByRotateZ(float, float, float, float*, float*)	BHSCalcRevisionDistXZByRotateZ__FfffPfPf	2148455872
game	mario/GC2D/SelectShine2	94.07	1180	TSelectShineManager::perform(unsigned long, JDrama::TGraphics*)	perform__19TSelectShineManagerFUlPQ26JDrama9TGraphics	2149024088
game	mario/Enemy/bossgesso	94.12	164	TBossGesso::changeAllTentacleState(int)	changeAllTentacleState__10TBossGessoFi	2147976700
game	mario/Player/WaterGun	94.15	716	TNozzleBase::emit(int)	emit__11TNozzleBaseFi	2150026172
game	mario/NPC/NpcParts	94.19	1072	TNpcParts::TNpcParts(unsigned long, const J3DGXColorS10*, TBaseNPC*)	__ct__9TNpcPartsFUlPC13J3DGXColorS10P8TBaseNPC	2149655896
game	mario/Enemy/Koopa	94.33	240	TKoopaFlame::control()	control__11TKoopaFlameFv	2148689328
game	mario/Enemy/koopajr	94.44	1096	TKoopaJrSubmarine::init(TLiveManager*)	init__17TKoopaJrSubmarineFP12TLiveManager	2148636580
game	mario/MoveBG/MapObjMamma	94.44	820	TLeanMirror::controlShake()	controlShake__11TLeanMirrorFv	2149388660
game	mario/Map/BathWaterManager	94.49	2624	TBathWaterMeshRenderer::prerender(JDrama::TGraphics*, const TBathtubData&, TBathWater**, TBathWaterParams**, int)	prerender__22TBathWaterMeshRendererFPQ26JDrama9TGraphicsRC12TBathtubDataPP10TBathWaterPP16TBathWaterParamsi	2149235892
game	mario/Animal/BeeHive	94.50	748	TNerveBeeHiveMarioWaterIn::execute(TSpineBase<TLiveActor>*) const	execute__25TNerveBeeHiveMarioWaterInCFP24TSpineBase<10TLiveActor>	2147543344
