subsystem	function	total_uses	game_src	jsystem_src	non_sdk_headers	thpplayer_src	odemuexi2_src	files	declared_in
GX	GXCopyTex	7	6	1	0	0	0	4	dolphin/gx/GXFrameBuffer.h
GX	GXInitLightPos	7	6	1	0	0	0	4	dolphin/gx/GXLighting.h
GX	GXParam1u32	7	7	0	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXSetCopyFilter	7	6	1	0	0	0	3	dolphin/gx/GXFrameBuffer.h
GX	GXSetTevKColorSel	7	3	1	0	3	0	5	dolphin/gx/GXTev.h
GX	GXSetTexCopyDst	7	6	1	0	0	0	4	dolphin/gx/GXFrameBuffer.h
GX	GXSetTexCopySrc	7	6	1	0	0	0	4	dolphin/gx/GXFrameBuffer.h
OS	OSIsThreadTerminated	7	6	1	0	0	0	6	dolphin/os/OSThread.h
MTX (paired-single)	PSMTXIdentity	7	5	1	0	1	0	6	dolphin/mtx.h
VI	VIGetRetraceCount	7	0	7	0	0	0	3	dolphin/vi/vifuncs.h
CARD	CARDClose	6	6	0	0	0	0	1	dolphin/card/CARDOpen.h
DSP	DSPSendMailToDSP	6	0	6	0	0	0	2	dolphin/dsp.h
DVD	DVDConvertPathToEntrynum	6	3	3	0	0	0	5	dolphin/dvd.h
GX	GXColor1x8	6	6	0	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXInvalidateTexAll	6	5	0	0	1	0	3	dolphin/gx/GXTexture.h
GX	GXSetDrawSync	6	6	0	0	0	0	3	dolphin/gx.h
GX	GXSetTevKAlphaSel	6	3	1	0	2	0	5	dolphin/gx/GXTev.h
MTX	MTXMultVecSR	6	3	3	0	0	0	4	dolphin/mtx.h
OS	OSInitMutex	6	1	5	0	0	0	5	dolphin/os/OSMutex.h
OS	OSProtectRange	6	2	4	0	0	0	2	dolphin/os/OSMemory.h
OS	OSSetErrorHandler	6	0	6	0	0	0	1	dolphin/os/OSError.h
OS	OSYieldThread	6	5	1	0	0	0	4	dolphin/os/OSThread.h
MTX (C)	C_MTXLightPerspective	5	3	2	0	0	0	3	dolphin/mtx.h
GD	GDSetBlendMode	5	1	3	1	0	0	3	dolphin/gd/GDPixel.h
GX	GXCmd1u16	5	3	2	0	0	0	2	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXDrawDone	5	4	0	0	1	0	2	dolphin/gx/GXManage.h
GX	GXPixModeSync	5	5	0	0	0	0	3	dolphin/gx/GXManage.h
GX	GXSetIndTexMtx	5	2	3	0	0	0	4	dolphin/gx/GXBump.h
GX	GXSetTevColorS10	5	3	1	0	1	0	3	dolphin/gx/GXTev.h
OS	OSCancelThread	5	0	2	0	3	0	5	dolphin/os/OSThread.h
OS	OSErrorLine	5	0	2	3	0	0	3	dolphin/os.h
OS	OSPhysicalToCached	5	0	5	0	0	0	3	dolphin/os.h
OS	OSSuspendThread	5	0	0	0	5	0	3	dolphin/os/OSThread.h
VI	VIGetNextField	5	0	1	0	4	0	2	dolphin/vi/vifuncs.h
VI	VISetBlack	5	1	4	0	0	0	3	dolphin/vi/vifuncs.h
ARQ	ARQPostRequest	4	0	4	0	0	0	2	dolphin/ar.h
DSP	DSPCheckMailFromDSP	4	0	4	0	0	0	3	dolphin/dsp.h
DVD	DVDChangeDir	4	4	0	0	0	0	2	dolphin/dvd.h
DVD	DVDGetDriveStatus	4	1	3	0	0	0	2	dolphin/dvd.h
GD	GDBegin	4	4	0	0	0	0	2	dolphin/gd/GDGeometry.h
GD	GDEnd	4	4	0	0	0	0	2	dolphin/gd/GDGeometry.h
GD	GDFlushCurrToMem	4	2	2	0	0	0	4	dolphin/gd/GDBase.h
GD	GDInitGDLObj	4	2	2	0	0	0	4	dolphin/gd/GDBase.h
GD	GDPadCurr32	4	2	2	0	0	0	4	dolphin/gd/GDBase.h
GD	GDSetAlphaCompare	4	0	3	1	0	0	2	dolphin/gd/GDTev.h
GD	GDSetCullMode	4	4	0	0	0	0	1	dolphin/gd/GDGeometry.h
GD	GDSetDstAlpha	4	4	0	0	0	0	1	dolphin/gd/GDPixel.h
GX	GXColor3u8	4	4	0	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXGetTexBufferSize	4	3	1	0	0	0	4	dolphin/gx/GXTexture.h
GX	GXInitLightAttn	4	3	0	1	0	0	2	dolphin/gx/GXLighting.h
GX	GXInvalidateVtxCache	4	3	1	0	0	0	3	dolphin/gx/GXGeometry.h
GX	GXSetCoPlanar	4	2	2	0	0	0	4	dolphin/gx/GXCull.h
GX	GXSetDither	4	2	2	0	0	0	4	dolphin/gx/GXPixel.h
GX	GXSetIndTexOrder	4	2	2	0	0	0	3	dolphin/gx/GXBump.h
GX	GXSetPixelFmt	4	2	1	0	1	0	3	dolphin/gx/GXPixel.h
GX	GXSetPointSize	4	1	3	0	0	0	3	dolphin/gx/GXGeometry.h
OS	OSGetCurrentThread	4	0	4	0	0	0	3	dolphin/os/OSThread.h
OS	OSGetProgressiveMode	4	4	0	0	0	0	2	dolphin/os/OSRtc.h
OS	OSSignalCond	4	4	0	0	0	0	1	dolphin/os/OSMutex.h
MTX (paired-single)	PSVECCrossProduct	4	4	0	0	0	0	1	dolphin/mtx.h
VI	VIFlush	4	1	3	0	0	0	3	dolphin/vi/vifuncs.h
VI	VI_TVMODE	4	4	0	0	0	0	1	dolphin/vi/vitypes.h
AI	AISetStreamVolLeft	3	0	3	0	0	0	1	dolphin/ai.h
AI	AISetStreamVolRight	3	0	3	0	0	0	1	dolphin/ai.h
AR	ARAlloc	3	0	3	0	0	0	1	dolphin/ar.h
DSP	DSPReadMailFromDSP	3	0	3	0	0	0	3	dolphin/dsp.h
DVD	DVDGetCommandBlockStatus	3	0	3	0	0	0	2	dolphin/dvd.h
GD	GDSetBlendModeEtc	3	3	0	0	0	0	1	dolphin/gd/GDPixel.h
GX	GXDrawCube	3	3	0	0	0	0	1	dolphin/gx/GXDraw.h
GX	GXInitTexCacheRegion	3	0	3	0	0	0	1	dolphin/gx/GXTexture.h
GX	GXSetTevIndWarp	3	3	0	0	0	0	2	dolphin/gx/GXBump.h
GX	GXSetTevIndirect	3	0	3	0	0	0	2	dolphin/gx/GXBump.h
OS	OSCheckStopwatch	3	1	0	2	0	0	2	dolphin/os/OSStopwatch.h
OS	OSInitFastCast	3	1	2	0	0	0	3	dolphin/os.h
OS	OSSetProgressiveMode	3	3	0	0	0	0	2	dolphin/os/OSRtc.h
OS	OSSetSoundMode	3	3	0	0	0	0	1	dolphin/os.h
OS	OSStartStopwatch	3	3	0	0	0	0	1	dolphin/os/OSStopwatch.h
OS	OSStopStopwatch	3	3	0	0	0	0	1	dolphin/os/OSStopwatch.h
OS	OSTicksToMilliseconds	3	2	0	1	0	0	2	dolphin/os.h
AI	AIInitDMA	2	0	2	0	0	0	1	dolphin/ai.h
AI	AISetStreamPlayState	2	0	2	0	0	0	1	dolphin/ai.h
CARD	CARDGetFileNo	2	2	0	0	0	0	1	dolphin/card.h
CARD	CARDGetStatus	2	2	0	0	0	0	1	dolphin/card/CARDStat.h
CARD	CARDSetIconFormat	2	2	0	0	0	0	1	dolphin/card.h
CARD	CARDSetIconSpeed	2	2	0	0	0	0	1	dolphin/card.h
DVD	DVDCheckDisk	2	2	0	0	0	0	1	dolphin/dvd.h
DVD	DVDFastOpen	2	0	2	0	0	0	2	dolphin/dvd.h
DVD	DVDPrepareStreamAsync	2	0	2	0	0	0	1	dolphin/dvd.h
DVD	DVDReadAsync	2	0	2	0	0	0	1	dolphin/dvd.h
DVD	DVDReadAsyncPrio	2	0	2	0	0	0	2	dolphin/dvd.h
DVD	DVDStopStreamAtEndAsync	2	0	2	0	0	0	1	dolphin/dvd.h
GD	GDGetCurrOffset	2	1	1	0	0	0	2	dolphin/gd/GDBase.h
GD	GDGetCurrPointer	2	0	2	0	0	0	1	dolphin/gd/GDBase.h
GD	GDSetChanCtrl	2	2	0	0	0	0	1	dolphin/gd/GDLight.h
GD	GDSetGenMode2	2	1	1	0	0	0	2	dolphin/gd/GDGeometry.h
GD	GDSetVtxDescv	2	1	1	0	0	0	2	dolphin/gd/GDGeometry.h
GX	GXClearPixMetric	2	2	0	0	0	0	1	dolphin/gx/GXPerf.h
GX	GXEnableBreakPt	2	2	0	0	0	0	1	dolphin/gx/GXFifo.h
GX	GXFlush	2	1	1	0	0	0	2	dolphin/gx/GXManage.h
GX	GXGetLightColor	2	0	1	1	0	0	2	dolphin/gx/GXGet.h
