caller_nonexact_bytes	unit	symbol	ours	map	delta	nonexact_callers(size,fuzzy)
1260	mario/MoveBG/MapObjSirena	getSlotResult__13TItemSlotDrumFv	228	140	88	generateItem__13TItemSlotDrumFv(1260,96.0)
1232	mario/Enemy/koopajr	checkKillerLaunch__17TKoopaJrSubmarineFv	268	256	12	perform__8TKoopaJrFUlPQ26JDrama9TGraphics(1232,99.9)
1232	mario/Enemy/koopajr	checkNerve__8TKoopaJrFv	1572	1184	388	perform__8TKoopaJrFUlPQ26JDrama9TGraphics(1232,99.9)
1196	mario/MoveBG/MapObjCorona	marioIsOn__12TBathtubGripCFv	8	160	-152	control__8TBathtubFv(1196,99.0)
1192	mario/Enemy/Koopa	isTumbling__6TKoopaCFv	240	236	4	perform__6TKoopaFUlPQ26JDrama9TGraphics(1192,99.9)
1176	mario/Enemy/Koopa	breathFlame__6TKoopaFv	692	448	244	setUpHitActors__6TKoopaFv(1176,98.1)
1164	mario/Enemy/cannon	calcObjCollision__7TCannonFv	376	300	76	calcRootMatrix__7TCannonFv(1164,99.9)
1012	mario/Enemy/Amenbo	checkMarioWaterIn__7TAmenboFv	708	724	-16	control__7TAmenboFv(1012,99.9)
1004	mario/Enemy/graph	getNthT__11TSplineRailFi	20	36	-16	calcSplineSpeed__12TGraphTracerFf(624,98.1);traceSpline__12TGraphTracerFf(380,99.1)
996	mario/MoveBG/MapObjCorona	trample__8TBathtubFRCQ29JGeometry8TVec3<f>	76	84	-8	receiveMessage__12TBathtubGripFP9THitActorUl(804,98.9);receiveMessage__8TBathtubFP9THitActorUl(192,95.7)
956	mario/Animal/Bird	checkChangeToItem__11TAnimalBirdFv	236	272	-36	moveObject__11TAnimalBirdFv(956,97.8)
932	mario/Enemy/limitkoopajr	calcTargetDirection__13TLimitKoopaJrFv	172	156	16	moveRun__13TLimitKoopaJrFv(932,99.6)
920	mario/Animal/BeeHive	setShakePower__8TBeeHiveFRCQ29JGeometry8TVec3<f>	720	724	-4	receiveMessage__8TBeeHiveFP9THitActorUl(920,98.8)
920	mario/Animal/BeeHive	behaveToEat__4TBeeFv	248	252	-4	receiveMessage__8TBeeHiveFP9THitActorUl(920,98.8)
920	mario/Animal/BeeHive	SMS_EmitWaterHitParticleAndSound__9@unnamed@FPQ29JGeometry8TVec3<f>	168	156	12	receiveMessage__8TBeeHiveFP9THitActorUl(920,98.8)
916	mario/Enemy/Kazekun	getAroundRate__8TKazekunCFRCQ29JGeometry8TVec3<f>	188	192	-4	flyAroundMario__8TKazekunFv(916,97.3)
808	mario/Map/MapWarp	loadWarpPointPos__FR20JSUMemoryInputStreamiP3Vec	196	300	-104	init__8TMapWarpFR20JSUMemoryInputStream(808,98.3)
728	mario/MarioUtil/ShadowUtil	calc__12TModelShadowFiPQ26JDrama9TGraphics	4	880	-876	entryDrawShadow__16TMBindShadowBodyFv(728,99.4)
724	mario/Enemy/bosswanwan	isHeadPulled__11TBossWanwanFv	152	112	40	control__11TBossWanwanFv(724,98.7)
704	mario/Strategic/ObjHitCheck	checkActorsInList__12TObjHitCheckFP9THitActorP13TObjCheckList	584	576	8	checkAndEntryGroup__12TObjHitCheckFP12TIdxGroupObj(704,99.8)
700	mario/Enemy/Kumokun	checkRoofPlane__8TKumokunFPQ29JGeometry8TVec3<f>f	152	144	8	bindOnFlying__8TKumokunFv(700,99.4)
700	mario/Enemy/Kumokun	checkFloorPlane__8TKumokunFPQ29JGeometry8TVec3<f>ff	140	136	4	bindOnFlying__8TKumokunFv(700,99.4)
660	mario/Enemy/bossManta	initAdditionalCollision__17TBossMantaManagerFv	340	156	184	init__10TBossMantaFP12TLiveManager(660,99.1)
640	mario/Map/MapWire	updatePointAtReleased__8TMapWireFi	240	248	-8	move__8TMapWireFv(640,99.6)
636	mario/Enemy/tinkoopa	makeHitCollision__9TTinKoopaFv	408	416	-8	reset__9TTinKoopaFv(636,98.6)
624	mario/JSystem/JParticle/JPAMath	JPAGetSVecElement__FPA4_fRQ29JGeometry8TVec3<f>	384	396	-12	JPAGetRMtxTVecElement__FPA4_fPA4_fRQ29JGeometry8TVec3<f>(624,99.2)
612	mario/Enemy/cannon	hitHead__7TCannonFP8TBombHei	256	340	-84	bombSet__7TCannonFv(612,99.9)
604	mario/Enemy/bossManta	updateAnimBlend__10TBossMantaFv	492	496	-4	control__10TBossMantaFv(604,99.9)
544	mario/Enemy/wireTrap	initWire__9TWireTrapFv	520	264	256	load__9TWireTrapFR20JSUMemoryInputStream(544,99.9)
536	mario/GC2D/Option	movementCommon__14TOptionControlFv	392	1696	-1304	movementOption__14TOptionControlFv(536,100.0)
480	mario/Enemy/bossManta	isPolluting__10TBossMantaFv	56	40	16	moveObject__10TBossMantaFv(480,100.0)
